R.br.,Latituda,Longituda,Kategorija saobraćajnice,Datum nastanka saobraćajne nezgode,Vrijeme nastanka saobraćajne nezgode,Vremenske prilike,Period dana,Stanje kolovoza,Broj poginulih osoba,Broj teško povrijeđenih osoba,Broj lakše povrijeđenih osoba,"Vrsta, tip saobraćajne nezgode",Područje,Tip puta,Horizontalna geometrija,Vertikalna geometrija,Tip raskrsnice,Tip prelaza,Pješačka površina,Rasvjeta,Broj povrijeđenih učesnika 30 dana,Broj smrtno stradalih učesnika nakon 30 dana,Ukupno povrijeđenih učesnika,Ukupno smrtno stradalih učesnika,Putnički automobil,Pješak,Romobil,Bicikl,Motocikl,Lako teretno vozilo,Teško teretno vozilo,Autobus,Traktor,Ostalo
68,43.859498,18.294212,Regionalna cesta,10/01/2022,11:30:00,Kiša,Dan,Mokar,0,0,2,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,Bez prelaza,Da,Da,0,0,2,0,3,,,,,,,,,
69,43.845071,18.321022,Regionalna cesta,19/01/2022,15:50:00,Vedro,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Krivina,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
70,43.843918,18.327276,Regionalna cesta,06/04/2022,15:00:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Krivina,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,,1,,,,,1,,,
71,43.848184,18.313156,Regionalna cesta,19/04/2022,14:20:00,Vedro,Dan,Suh,0,0,1,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Krivina,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
72,43.848183,18.313159,Regionalna cesta,28/04/2022,15:30:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom preticanja,Urbano,Dvosmjerna cesta,Krivina,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,1,,,
73,43.833768,18.312131,Lokalna cesta,14/06/2022,07:00:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Krivina,Ne,Trokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,1,1,,,,,,,,
74,43.832208,18.329045,Lokalna cesta,27/01/2022,09:35:00,Kiša,Dan,Mokar,0,0,1,Izlijetanje izvan kolovoza,Urbano,Dvosmjerna cesta,Krivina,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
75,43.832336,18.32197,Lokalna cesta,15/02/2022,06:50:00,Kiša,Dan,Mokar,0,0,1,Izlijetanje izvan kolovoza,Urbano,Dvosmjerna cesta,Krivina,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1,,,,,,,,,
76,43.833431,18.31289,Lokalna cesta,11/05/2022,07:45:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1,,1,,,,,,,
77,43.830361,18.305311,Lokalna cesta,31/01/2022,08:10:00,Kiša,Dan,Mokar,0,0,1,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,1,1,,,,,,,,
